0.00104941,0.56354,0.193096,0.808342,0.584802
0.479619,0.350235,0.895729,0.822344,0.746341
0.17374,0.858865,0.710169,0.512839,0.303622
0.0146657,0.0913367,0.364212,0.14669,0.165595
0.987865,0.445539,0.118435,0.00335357,0.00823056

0.377323,0.53164,0.570928,0.60146,0.604505
0.165682,0.663023,0.450534,0.351822,0.0543883
0.607171,0.783298,0.802374,0.519611,0.299484
0.875498,0.726657,0.955687,0.925467,0.537072
0.141929,0.462064,0.235147,0.862027,0.207639
0.779006,0.843627,0.996495,0.999338,0.608405

0.391209,0.212183,0.293993,0.829018,-0.0354668
0.374631,0.0379524,0.67388,0.0449634,-0.0511398
0.917555,0.221202,0.26957,0.576654,0.631239
0.836375,0.671787,0.481611,0.194101,0.68377
0.467252,0.405305,0.945951,0.733591,0.0506194
0.597812,0.330414,0.731673,0.597686,0.512311

0.00226026,-0.50361,-0.123205,-0.237718,0.289531
0.167875,0.359448,0.412617,-0.28872,-0.32912
0.298506,-0.162753,-0.2845,0.0374516,-0.00817851
-0.210356,0.296828,-0.205544,0.24488,0.181205
-0.0465648,-0.203769,-0.26873,0.331167,0.184797
-0.20643,0.221022,0.472803,-0.0819349,-0.322805

0.000295836,-2.01182e-05,5.78402e-05
0.000718888,-4.97178e-05,0.000140629
0.000533281,-3.86768e-05,0.000104346
-0.000296623,2.42477e-05,-5.84314e-05
-0.000470687,3.35914e-05,-9.21012e-05
0.496421,0.154119,0.140516

